Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy,industry_rank,descr,main_score
16,16,28,0,41,48,40,23,49,40,43,57,0,87/120,"CyberOptics Corp is a Electronic Equipment & Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",31
16,16,28,0,41,48,40,23,49,40,43,57,0,87/120,"Ibiden Co Ltd is a Electronic Equipment & Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",31
2,0,5,0,25,18,35,9,44,26,36,9,0,205/232,"Inphi Corp is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",18
57,69,57,0,52,27,24,88,62,31,26,18,71,233/557,"Evolution Mining Ltd is a Metals & Mining company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",48
40,28,60,34,37,8,33,62,65,58,58,83,16,123/232,"Tokyo Seimitsu Co Ltd is a Semiconductors & Semiconductor Equipment company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",44
0,0,0,0,23,0,34,26,22,56,63,72,0,459/831,"TVN SA is a Software & IT Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",35
65,86,59,0,61,34,24,95,82,76,80,74,64,111/557,"Sibanye Stillwater Ltd is a Metals & Mining company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",66
27,27,33,0,42,0,40,42,52,51,52,79,8,260/459,"Kite Realty Group Trust is a Residential & Commercial REITs company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",39
0,0,0,0,34,0,30,47,44,40,56,14,0,680/1002,"PDL Community Bancorp is a Banking Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",31
0,0,0,0,34,0,30,47,44,40,56,14,0,680/1002,"Banco Pastor SA is a Banking Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",31
52,53,66,34,39,3,88,74,27,74,81,56,63,35/120,"Guangzhou Shiyuan Electronic Technology Co Ltd is a Electronic Equipment & Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",54
