,company
382,Catalyst Biosciences Inc
383,BBMG Corp
384,Sino-Ocean Group Holding Ltd
385,Noodles & Co
386,Asahi Kasei Corp
387,Dr.Reddy's Laboratories Ltd
388,Facebook Inc
389,BioCryst Pharmaceuticals Inc
390,Alcan Inc
391,Zynga Inc
392,Haier Smart Home Co Ltd
393,Teleflex Inc
394,Taysha Gene Therapies Inc
395,Lippo Karawaci Tbk PT
396,Federated Hermes Inc
397,Troax Group AB (publ)
398,WSP Group Ltd
399,Clearfield Inc
400,Zai Lab Ltd
401,LDR Holding Corp
402,Boingo Wireless Inc
403,Etablissements Maurel et Prom SA
404,Silver Lake Resources Ltd
405,Bahrain Kuwait Insurance Co BSC
406,Villa World Ltd
407,Zoo Digital Group PLC
408,Redecard SA
409,CCC SA
410,Tongcheng-Elong Holdings Ltd
411,Viking Therapeutics Inc
412,Accent Group Ltd
413,Nichirei Corp
414,Cambium Networks Corp
415,Ampco-Pittsburgh Corp
416,Best Buy Co Inc
417,TaiMed Biologics Inc
418,Habib Bank Ltd
419,Jiangsu Hengli Hydraulic Co Ltd
420,Jarden Corp
421,Lotte Chemical Corp
422,Lewis Group Ltd
423,Bergman & Beving AB
424,Novo Nordisk A/S
425,Tamdeen Real Estate Co KPSC
426,Gerresheimer AG
427,Great Wall Motor Co Ltd
428,Fleetcor Technologies Inc
429,Shui On Land Ltd
430,AMMB Holdings Bhd
431,Also Holding AG
432,PayPoint plc
433,LGI Homes Inc
434,Feng Hsin Steel Co Ltd
435,Nobina AB (publ)
436,Charter Hall Retail REIT
437,Sonae Industria Sgps SA
438,Allied World Assurance Company Holdings Ltd
439,Electrovaya Inc
440,Hellenic Petroleum SA
441,SIG Combibloc Group AG
442,Aitken Spence PLC
443,Masisa SA
444,SeaWorld Entertainment Inc
445,Sbanken ASA
446,Oriola Oyj
447,TI Fluid Systems PLC
448,GWA Group Ltd
449,Pilkington Group Ltd
450,Ulta Beauty Inc
451,Corporacion Financiera Colombiana SA
452,TBS Holdings Inc
453,Babcock International Group PLC
454,Daejan Holdings PLC
455,Chicago Bridge & Iron Company NV
456,Fenix Outdoor International AG
457,Alliance & Leicester Ltd
458,Nutanix Inc
459,Otsuka Corp
460,GMR Infrastructure Ltd
461,Sequoia Economic Infrastructure Income Fund Ltd
462,MFC Energy Corp
463,Stratus Properties Inc
464,Premier Gold Mines Ltd
465,Starhill Global Real Estate Investment Trust
466,Hanwha Solutions Corp
467,Cousins Properties Inc
468,Alpha Pro Tech Ltd
469,Gazprom Neft' PAO
470,Villeroy & Boch AG
471,First Busey Corp
472,Innocean Worldwide Inc
473,Jarir Marketing Company SJSC
474,Xcel Energy Inc
475,Genworth Mortgage Insurance Australia Ltd
476,Chugoku Bank Ltd
477,Sirona Dental Systems Inc
478,Duni AB
479,Currys PLC
480,Budimex SA
481,Arnoldo Mondadori Editore SpA
482,Tongling Nonferrous Metals Group Co Ltd
483,Falck Renewables SpA
484,YOUZU Interactive Co Ltd
485,Hangzhou Robam Appliances Co Ltd
486,Iberdrola Renovables SA
487,Parsley Energy Inc
488,Erie Indemnity Co
489,Cosmos Pharmaceutical Corp
490,Middlesex Water Co
491,Kohls Corp
492,SkyWest Inc
493,MDC Holdings Inc
494,Carlisle Companies Inc
495,Hochtief AG
496,Emaar The Economic City SJSC
497,Eclat Textile Co Ltd
498,Shanghai Waigaoqiao Free Trade Zone Group Co Ltd
499,Euromoney Institutional Investor PLC
500,Highlight Event and Entertainment AG
501,Bumi Resources Tbk PT
502,Bank of N.T. Butterfield & Son Ltd
503,Intercept Pharmaceuticals Inc
504,Aioi Nissay Dowa Insurance Co Ltd
505,Eastern Platinum Ltd
506,Shinpoong Pharmaceutical Co Ltd
507,Puxin Ltd
508,Kulicke and Soffa Industries Inc
509,Enerjisa Enerji AS
