,company
3906,FreightCar America Inc
3907,Investcorp Holdings BSC
3908,Apeloa Pharmaceutical Co Ltd
3909,Biffa PLC
3910,Chongqing Rural Commercial Bank Co Ltd
3911,Silence Therapeutics PLC
3912,Daifuku Co Ltd
3913,Premium Brands Holdings Corp
3914,Switch Inc
3915,Edelman Financial Engines LLC
3916,Bank of Ningbo Co Ltd
3917,Telefonica Brasil SA
3918,Arrowhead Pharmaceuticals Inc
3919,CryoLife Inc
3920,Boku Inc
3921,Shandong Xinchao Energy Corp Ltd
3922,GWG Holdings Inc
3923,Hunan Valin Steel Co Ltd
3924,AVIC Jonhon Optronic Technology Co Ltd
3925,Watford Holdings Ltd
3926,Purplebricks Group PLC
3927,Iberdrola SA
3928,J Alexanders Holdings Inc
3929,West Fraser Timber Co Ltd
3930,Energy Transfer LP
3931,Infinera Corp
3932,Dawson Geophysical Co
3933,Info Edge (India) Ltd
3934,Hornbach Baumarkt AG
3935,Kyoritsu Maintenance Co Ltd
3936,AF Poyry AB
3937,Laird Superfood Inc
3938,Amgen Inc
3939,Zorlu Enerji Elektrik Uretim AS
3940,Masmovil Ibercom SA
3941,China CSSC Holdings Ltd
3942,Mincor Resources NL
3943,FLIR Systems Inc
3944,Edgewell Personal Care Co
3945,China Minsheng Banking Corp Ltd
3946,Cognex Corp
3947,Powszechna Kasa Oszczednosci Bank Polski SA
3948,Jimmy Choo Group Ltd
3949,IRB Brasil Resseguros SA
3950,Premier Financial Corp (OHIO)
3951,Truist Financial Corp
3952,OSB Group PLC
3953,Gildan Activewear Inc
3954,Recticel NV
3955,Old Mutual Ltd
3956,bwin Interactive Entertainment AG
3957,Toray Industries Inc
3958,Web.com Group Inc
3959,Siemens Healthineers AG
3960,Redefine Properties Ltd
3961,Hensoldt AG
3962,IQIYI Inc
3963,Leonteq AG
3964,Jiangsu Hengrui Medicine Co Ltd
3965,BRD Groupe Societe Generale SA
3966,Selvaag Bolig ASA
3967,GOME Retail Holdings Ltd
3968,Gr Sarantis SA
3969,Eros STX Global Corp
3970,Movida Participacoes SA
3971,Eldorado Gold Corp
3972,Mitsubishi Chemical Holdings Corp
3973,Peoples Energy Corp
3974,HomeServe PLC
3975,Boart Longyear Ltd
3976,Comscore Inc
3977,Colonial Bancgroup Inc
3978,Fukuoka Financial Group Inc
3979,Tecnicas Reunidas SA
3980,Afterpay Ltd
3981,Young Fast Optoelectronics Co Ltd
3982,Netas Telekomunikasyon AS
3983,Perpetual Energy Inc
3984,Tokyo Gas Co Ltd
3985,alstria office REIT AG
3986,Cromwell Property Group
3987,Fate Therapeutics Inc
3988,Formosa Chemicals & Fibre Corp
3989,Callidus Software Inc
3990,Xylem Inc
3991,HomeAway Inc
3992,Solarpack Corporacion Tecnologica SA
3993,Hitachi Metals Ltd
3994,Law Debenture Corporation PLC
3995,Kerry Properties Ltd
3996,EPH European Property Holdings Ltd
3997,Keysight Technologies Inc
3998,Ally Financial Inc
3999,J M Smucker Co
4000,ASR Nederland NV
4001,Hibernia REIT PLC
4002,Mid Penn Bancorp Inc
4003,Casper Sleep Inc
4004,PBG SA
4005,Gabriel Holding A/S
4006,Tiptree Inc
4007,Parkway Inc
4008,Tanzanian Gold Corp
4009,Cogeco Communications Inc
4010,Intermediate Capital Group PLC
4011,Formosa Petrochemical Corp
4012,Hiwin Technologies Corp
4013,Rautaruukki Corp
4014,Singapore Press Holdings Ltd
4015,Peoples Bancorp of North Carolina Inc
4016,Goldcorp Inc
4017,Industries Qatar QPSC
4018,Lions Gate Entertainment Corp
4019,Carriage Services Inc
4020,Kion Group AG
4021,Stock Yards Bancorp Inc
4022,Ashmore Group PLC
4023,Goodfood Market Corp
4024,Everlight Electronics Co Ltd
4025,Northern Star Resources Ltd
4026,Keywords Studios PLC
4027,Toyota Motor Corp
4028,Sunrise Communications Group AG
4029,Keppel Land Ltd
4030,Zhongtai Securities Co Ltd
4031,Intellicheck Inc
4032,Stillfront Group AB (publ)
4033,Henan Shuanghui Investment & Development Co Ltd
4034,Global Mediacom Tbk PT
4035,People Corp
4036,UMW Holdings Bhd
4037,Nuvei Corp
4038,URS Corp
4039,Impala Platinum Holdings Ltd
4040,Ryder System Inc
4041,Kangwon Land Inc
4042,Toyo Suisan Kaisha Ltd
4043,Acerinox SA
4044,Greentown China Holdings Ltd
4045,Topsec Technologies Group Inc
4046,Vitamin Oldco Holdings Inc
4047,Monmouth Real Estate Investment Corp
4048,DeNA Co Ltd
4049,Wihlborgs Fastigheter AB
4050,Canadian Imperial Bank of Commerce
4051,PCSB Financial Corp
4052,Unilife Corp
4053,Royal Caribbean Cruises Ltd
4054,NetEase Inc
4055,Blackrock Smaller Companies Trust PLC
4056,Aetna Inc
4057,Puma Biotechnology Inc
4058,Banco Bilbao Vizcaya Argentaria SA
4059,Anadolu Anonim Turk Sigorta Sti
4060,Globus Medical Inc
4061,Luenmei Quantum Co Ltd
4062,BlueScope Steel Ltd
4063,Sally Beauty Holdings Inc
4064,Knights Group Holdings PLC
4065,Commerzbank AG
4066,EQT Corp
4067,Shionogi & Co Ltd
4068,International Speedway Corp
4069,Infratil Ltd
4070,Agile Group Holdings Ltd
4071,Yantai Changyu Pioneer Wine Co Ltd
4072,Brisa Auto Estradas de Portugal SA
4073,Intercontinental Exchange Inc
4074,Burkhalter Holding AG
4075,Abengoa SA
4076,Ultra Electronics Holdings PLC
4077,Industrias Penoles SAB de CV
4078,Almost Family Inc
4079,UDG Healthcare Ltd
4080,Innodata Inc
4081,Sinopec Shanghai Petrochemical Co Ltd
4082,Jumbo Interactive Ltd
4083,Fagerhult AB
4084,SJM Holdings Ltd
4085,Turkcell Iletisim Hizmetleri AS
4086,Washington H Soul Pattinson and Company Ltd
4087,Nissay Dowa General Insurance Co Ltd
4088,GBST Holdings Ltd
4089,Spectrum Brands Legacy Inc
4090,Gulf International Services QPSC
4091,Juewei Food Co Ltd
4092,Dream Office Real Estate Investment Trust
4093,RPM International Inc
4094,Henry Boot PLC
4095,Siltronic AG
4096,Jiangsu Expressway Co Ltd
4097,Challenger Diversified Property Group
4098,DMCI Holdings Inc
4099,Sichuan Chuantou Energy Co Ltd
4100,LG Uplus Corp
4101,Myers Industries Inc
4102,Modine Manufacturing Co
4103,Polyus PAO
4104,ALK-Abello A/S
4105,Piaggio & C SpA
4106,KVH Industries Inc
4107,Endocyte Inc
4108,Sasseur Real Estate Investment Trust
4109,CIMIC Group Ltd
4110,Luye Pharma Group Ltd
4111,Harley-Davidson Inc
4112,Chunghwa Picture Tubes Ltd
4113,Valmet Oyj
4114,CST Brands LLC
4115,Kuehne und Nagel International AG
4116,Aziyo Biologics Inc
4117,Kraft Heinz Foods Co
4118,Carillion Energy Services Ltd
4119,Beijing Originwater Technology Co Ltd
4120,ZIOPHARM Oncology Inc
4121,TWC Enterprises Ltd
4122,AGA Rangemaster Group Ltd
4123,American Vanguard Corp
4124,Rayonier Inc
4125,Doha Insurance Group QPSC
4126,Arcutis Biotherapeutics Inc
4127,Polyus Gold International Ltd
4128,Bonheur ASA
4129,FGV Holdings Bhd
4130,Manitowoc Company Inc
4131,Pultegroup Inc
4132,Chargeurs SA
4133,WuXi AppTec Co Ltd
4134,Genpact Ltd
4135,Obsidian Energy Ltd
4136,Prudential PLC
4137,ePlus inc
4138,Hamburger Hafen und Logistik AG
4139,GasLog Ltd
4140,Gritstone Oncology Inc
4141,Ezdan Holding Group QPSC
4142,Crescent Point Energy Corp
4143,Arca Continental SAB de CV
4144,Nippon Light Metal Co Ltd
4145,Novartis AG
4146,TBC Bank Group PLC
4147,Severn Trent PLC
4148,Vicinity Ltd
4149,Vishay Intertechnology Inc
4150,Allied Properties Real Estate Investment Trust
4151,Tele Columbus AG
4152,Linc Energy Ltd
4153,Saks Inc
4154,Srisawad Corporation PCL
4155,Agilysys Inc
4156,Triumph Group Inc
4157,NEPI Rockcastle PLC
4158,Austin Engineering Ltd
4159,Hyosung Corp
4160,Zayo Group Holdings Inc
4161,Extorre Gold Mines Ltd
4162,Sanan Optoelectronics Co Ltd
4163,Visteon Corp
4164,Blucora Inc
4165,Hewlett Packard Enterprise Co
4166,Workiva Inc
4167,Tim Hortons Inc (Pre-Merger)
4168,Bonduelle SA
4169,CarGurus Inc
4170,National Bank of Fujairah PJSC
4171,Greenyard NV
4172,Valhi Inc
4173,CMC Materials Inc
4174,Tainan Spinning Co Ltd
4175,Baxalta Inc
4176,Quilter PLC
4177,Tableau Software LLC
4178,Nemak SAB de CV
4179,Luxshare Precision Industry Co Ltd
4180,Pick N Pay Stores Ltd
4181,Avanza Bank Holding AB
4182,Computacenter PLC
4183,Offshore Oil Engineering Co Ltd
4184,Xbrane Biopharma AB
4185,Societa Cattolica di Assicurazione Sc
4186,Lagercrantz Group AB
4187,Saudi Cement Company SJSC
4188,Yifeng Pharmacy Chain Co Ltd
4189,Vedior NV
4190,Commerce Bancshares Inc
4191,SpeedCast International Ltd
4192,TCR2 Therapeutics Inc
4193,Melco Resorts & Entertainment Ltd
4194,AddLife AB
4195,George Weston Ltd
4196,Foghorn Therapeutics Inc.
4197,Solvay SA
4198,Snowflake Inc.
4199,Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd
4200,Amec Foster Wheeler Ltd
4201,Lawson Inc
4202,Hovnanian Enterprises Inc
4203,Trelleborg AB
4204,Shift4 Payments Inc
4205,MEI Pharma Inc
4206,SunPower Corp
4207,NxStage Medical Inc
4208,China Huishan Dairy Holdings Company Ltd
4209,Wuchan Zhongda Group Co Ltd
4210,Applied Materials Inc
4211,Worldline SA
4212,Allison Transmission Holdings Inc
4213,McPherson's Ltd
4214,Akenerji Elektrik Uretim AS
4215,Kawasaki Kisen Kaisha Ltd
4216,Mebuki Financial Group Inc
4217,Coventry Health Care Inc
4218,Amedisys Inc
4219,Altana AG
4220,Omnicom Group Inc
4221,Banpu PCL
4222,Arafura Resources Ltd
4223,Dorel Industries Inc
4224,Aritzia Inc
4225,Indofood CBP Sukses Makmur Tbk PT
4226,NextGen Healthcare Inc
4227,MRC Global Inc
4228,HSBC Bank Oman SAOG
4229,Kotak Mahindra Bank Ltd
4230,Phillips 66
4231,Andritz AG
4232,Smiths Group PLC
4233,Superior Plus Corp
4234,Kohyoung Technology Inc
4235,NOK Corp
4236,Remy Cointreau SA
4237,Pfenex Inc
4238,Exco Technologies Ltd
4239,Importadora y Exportadora de la Patagonia SA
4240,First Hawaiian Inc
4241,SoftBank Group Corp
4242,Achaogen Inc
4243,Zehnder Group AG
4244,DXC United Pty Ltd
4245,Hexcel Corp
4246,Yamaha Corp
4247,New York Community Bancorp Inc
4248,CatchMark Timber Trust Inc
4249,Tiscali SpA
4250,Hunnu Coal Pty Ltd
4251,Shanxi Xinghuacun Fen Wine Factory Co Ltd
4252,City Lodge Hotels Ltd
4253,Franco-Nevada Corp
4254,Pzena Investment Management Inc
4255,Idacorp Inc
4256,Lucky Cement Ltd
4257,Petmed Express Inc
4258,Contact Energy Ltd
4259,CPPGroup PLC
4260,Brimstone Investment Corporation Ltd
4261,American National Bankshares Inc
4262,Moonpig Group PLC
4263,Fuji Soft Inc
4264,Turkiye Sinai Kalkinma Bankasi AS
4265,Rsp Permian Inc
4266,Raymond James Financial Inc
4267,Grupo Aval Acciones y Valores SA
4268,West Japan Railway Co
4269,iiNet Ltd
4270,Aravive Inc
4271,Genmark Diagnostics Inc
4272,Five Prime Therapeutics Inc
4273,Hibu PLC
4274,Humana Inc
4275,Vaxart Inc
4276,Chipbond Technology Corp
4277,Maccura Biotechnology Co Ltd
4278,SIASUN Robot & Automation Co Ltd
4279,MGP Ingredients Inc
4280,Pihlajalinna Oyj
4281,Fulgent Genetics Inc
4282,SelectQuote Inc
4283,Minth Group Ltd
4284,Nido Petroleum Ltd
4285,InfuSystem Holdings Inc
4286,Devro PLC
4287,SBM Offshore NV
4288,EMCOR Group Inc
4289,Alder Biopharmaceuticals Inc
4290,Kindred Healthcare LLC
4291,Proofpoint Inc
4292,Mosenergo PAO
4293,Duerr AG
4294,Tianshui Huatian Technology Co Ltd
4295,Stryker Corp
4296,Fujitsu Ltd
4297,Kyocera Corp
4298,Infomedia Ltd
4299,Hexagon Composites ASA
4300,Towne Bank
4301,Rogers Sugar Inc
4302,HBT Financial Inc
4303,OVS SpA
4304,Cloudera Inc
4305,Morixe Hermanos SACI
4306,Temple Bar Investment Trust PLC
4307,Cumulus Media Inc
4308,Silverlake Axis Ltd
4309,Sociedad Quimica y Minera de Chile SA
4310,Amneal Pharmaceuticals Inc
4311,Servcorp Ltd
4312,Senshu Ikeda Holdings Inc
4313,Redcentric PLC
4314,Umpqua Holdings Corp
4315,Mapeley Ltd
4316,Advisory Board Co
4317,Programmed Maintenance Services Ltd
4318,Drillsearch Energy Pty Ltd
4319,Cochlear Ltd
4320,Tellurian Inc
4321,Union de Cervecerias Peruanas Backus y Johnston SAA
4322,Grupo Lala SAB de CV
4323,Mitsubishi UFJ Financial Group Inc
4324,Mayr Melnhof Karton AG
4325,Unisplendour Corp Ltd
4326,Diebold Nixdorf Inc
4327,Tritax Big Box Reit PLC
4328,Central Pattana PCL
4329,BYD Electronic International Co Ltd
4330,Qatar Gas Transport Nakilat Co Ltd QPSC
4331,Wus Printed Circuit Kunshan Co Ltd
4332,Sherritt International Corp
4333,Software AG
4334,Mindbody Inc
4335,Kongsberg Gruppen ASA
4336,Burlington Stores Inc
4337,Karnov Group AB (publ)
4338,Exantas Capital Corp
4339,Citycon Oyj
4340,Churchill Downs Inc
4341,Enphase Energy Inc
4342,Physicians Realty Trust
4343,Veidekke ASA
4344,Axonics Modulation Technologies Inc
4345,Meggitt PLC
4346,Tat Gida Sanayi AS
4347,Pacific Basin Shipping Ltd
4348,Ridley Corporation Ltd
4349,Guangzhou R&F Properties Co Ltd
4350,Plymouth Industrial REIT Inc
4351,Coupa Software Inc
4352,Broedrene Hartmann A/S
4353,Kuwait Food Company KSCP
4354,FRP Holdings Inc
4355,Baloise Holding AG
4356,Chroma ATE Inc
4357,Gaming and Leisure Properties Inc
4358,Ibstock PLC
4359,Zeder Investments Ltd
4360,Unipar Indupa SAIC
4361,EssilorLuxottica SA
4362,Viad Corp
4363,Tong Ren Tang Technologies Co Ltd
4364,Compania de Transporte de Energia Electrica en Alta Tension Transener SA
4365,PHX Energy Services Corp
4366,Nexon Co Ltd
4367,Hengtong Optic-Electric Co Ltd
4368,Lincoln Electric Holdings Inc
4369,Boston Beer Company Inc
4370,Rackspace Technology Global Inc
4371,Preferred Apartment Communities Inc
4372,Marlowe PLC
4373,Abdullah Al Othaim Markets CompanySJSC
4374,Telenet Group Holding NV
4375,Demant A/S
4376,Telefonos de Mexico SAB de CV
4377,Byd Co Ltd
4378,Japan Exchange Group Inc
4379,Turtle Beach Corp
4380,Safety Insurance Group Inc
4381,BKW Energie AG
4382,"Craft Brew Alliance, Inc."
4383,Immobiliare Grande Distribuzione SIIQ SpA
4384,Coca Cola HBC AG
4385,Pharol SGPS SA
4386,Holitech Technology Co Ltd
4387,Transcat Inc
4388,Varta AG
4389,Tanger Factory Outlet Centers Inc
4390,SAP France SA
4391,Sigma-Aldrich Corp
4392,Getin Noble Bank SA
4393,Horace Mann Educators Corp
4394,Swedbank AB
4395,Hla Corp Ltd
4396,Ashtead Group PLC
4397,Ovintiv Exploration Inc
4398,Celltrion Pharm Inc
4399,Skeena Resources Ltd
4400,Kobe Bussan Co Ltd
4401,Cairn Homes PLC
4402,Adani Enterprises Ltd
4403,Valvoline Inc
4404,Bank Tabungan Negara (Persero) Tbk PT
4405,Tucows Inc
4406,Corvus Pharmaceuticals Inc
4407,TrueCar Inc
4408,WageWorks Inc
4409,U Blox Holding AG
4410,Empresa Agroindustrial Pomalca SAA
4411,GlycoMimetics Inc
4412,Shenghe Resources Holding Co Ltd
4413,OP Yrityspankki Oyj
4414,Everbright Securities Co Ltd
4415,Zhejiang Wanfeng Auto Wheel Co Ltd
4416,Tfcf Corp
4417,Imperial Pacific International Holdings Ltd
4418,Ottogi Corp
4419,Frutarom Industries Ltd
4420,VirnetX Holding Corp
4421,Salzgitter AG
4422,Four Corners Property Trust Inc
4423,IOOF Holdings Ltd
4424,NAURA Technology Group Co Ltd
4425,Keurig Green Mountain Inc
4426,Celanese GmbH
4427,Hawaiian Electric Industries Inc
4428,Heartland Group Holdings Ltd
4429,CyberAgent Inc
4430,Despegar.com Corp
4431,ModivCare Inc
4432,SA San Miguel AGICI y F
4433,Eiger BioPharmaceuticals Inc
4434,Petronet LNG Ltd
4435,ZOZO Inc
4436,Samsonite International SA
4437,Assembly Biosciences Inc
4438,TPK Holding Co Ltd
4439,Armada Hoffler Properties Inc
4440,Starz Acquisition LLC
4441,Adani Ports and Special Economic Zone Ltd
4442,PCB Bancorp
4443,Pason Systems Inc
4444,Bonanza Creek Energy Inc
4445,Focusrite PLC
4446,Epam Systems Inc
4447,Fuchs Petrolub SE
4448,DGB Financial Group
4449,Nortel Networks Corp
4450,UEX Corp
4451,Yue Yuen Industrial (Holdings) Ltd
4452,Deutsche Pfandbriefbank AG
4453,ContourGlobal PLC
4454,Alphabet Inc
4455,MBB SE
4456,Central European Media Enterprises Ltd
4457,Shurgard Self Storage SA
4458,Alpha Bank SA
4459,Bolsa de Valores de Colombia SA
4460,Bank Danamon Indonesia Tbk PT
4461,Toho Gas Co Ltd
4462,Kirkland Lake Gold Inc
4463,TAM SA
4464,Wilh Wilhelmsen Holding ASA
4465,PMV Pharmaceuticals Inc
4466,MGIC Investment Corp
4467,Aena SME SA
4468,FinecoBank Banca Fineco SpA
4469,International Coal Holdings Pty Ltd
4470,Bombardier Inc
4471,Owens & Minor Inc
4472,Companhia Siderurgica Nacional
4473,Crompton Greaves Consumer Electricals Ltd
4474,Figeac Aero SARL
4475,ING Bank Slaski SA
4476,DBS Group Holdings Ltd
4477,CBRE Group Inc
4478,Mentor Graphics Corp
4479,Baozun Inc
4480,Jointown Pharmaceutical Group Co Ltd
4481,Teleperformance SE
4482,Mirae Asset Securities Co Ltd
4483,Avalonbay Communities Inc
4484,Persimmon PLC
4485,General Interface Solution (GIS) Holding Ltd
4486,Hartford Financial Services Group Inc
4487,dotDigital Group PLC
4488,EverQuote Inc
4489,Micron Memory Japan GK
4490,Athabasca Oil Corp
4491,Eeii AG
4492,Integer Holdings Corp
4493,Construcciones y Auxiliar de Ferrocarriles SA
4494,Brainstorm Cell Therapeutics Inc
4495,Spok Holdings Inc
4496,Nucor Corp
4497,EcoSynthetix Inc
4498,McGrath RentCorp
4499,Rolls-Royce Holdings PLC
4500,Emirates Telecommunications Group Co PJSC
4501,Caesars Entertainment Inc
4502,Roadrunner Transportation Systems Inc
4503,Flex Ltd
4504,Motor Oil Hellas Corinth Refineries SA
4505,Kindred Group PLC
4506,JGC Holdings Corp
4507,Balfour Beatty PLC
4508,Diagnosticos da America SA
4509,Aoyama Trading Co Ltd
4510,Infigen Energy Ltd
4511,Endeavour Group Ltd
4512,Portland General Electric Co
4513,Atco Ltd
4514,Lincoln Educational Services Corp
4515,Coffey International Ltd
4516,KBC Ancora BV
4517,Medipal Holdings Corp
4518,Wrap Technologies Inc
4519,BCA Marketplace Ltd
4520,Deutsche Boerse AG
4521,Jefferies Financial Group Inc
4522,Tomra Systems ASA
4523,Bahrain Commercial Facilities Co BSC
4524,Brooks Macdonald Group PLC
4525,Walker & Dunlop Inc
4526,Clovis Oncology Inc
4527,Miclyn Express Offshore Ltd
4528,Papillon Resources Pty Ltd
4529,SBI Life Insurance Company Ltd
4530,LPL Financial Holdings Inc
4531,Meridian Energy Ltd
4532,BRT Apartments Corp
4533,Hyster-Yale Materials Handling Inc
4534,Steel & Tube Holdings Ltd
4535,Mercury General Corp
4536,Metcash Ltd
4537,Troy Resources Ltd
4538,CIMB Group Holdings Bhd
4539,Nippon Building Fund Inc
4540,Oryzon Genomics SA
4541,Pepsi Bottling Group Inc
4542,Oppein Home Group Inc
4543,Davide Campari Milano NV
4544,Cheil Worldwide Inc
4545,Songcheng Performance Development Co Ltd
4546,Ahtium Oyj
4547,Hero MotoCorp Ltd
4548,ProfilGruppen AB
4549,Absa Group Ltd
4550,Grupo Nutresa SA
4551,Danone Baby and Medical Nutrition BV
4552,Beigene Ltd
4553,WuXi Biologics (Cayman) Inc
4554,Western Refining Inc
4555,XOMA Corp
4556,FLEX LNG Ltd
4557,Incyte Corp
4558,Monolithic Power Systems Inc
4559,Gielda Papierow Wartosciowych w Warszawie SA
4560,Shimizu Corp
4561,Barclays PLC
4562,Talecris Biotherapeutics Holdings Corp
4563,Digimarc Corp
4564,York Water Co
4565,OfficeMax Inc
4566,BKW AG
4567,AquaBounty Technologies Inc
4568,Sasol Ltd
4569,Swedish Stirling AB
4570,Taiheiyo Cement Corp
4571,Zurich Insurance Group AG
4572,Beijing Capital International Airport Co Ltd
4573,GreenSky Inc
4574,Camden National Corp
4575,Provident Financial Holdings Inc
4576,Impax Asset Management Group PLC
4577,Hershey Co
4578,Sartorius Stedim Biotech SA
4579,Johnson Matthey PLC
4580,Liberty Holdings Ltd
4581,Regal Entertainment Group
4582,HTC Corp
4583,Ascendas India Trust
4584,Pointsbet Holdings Ltd
4585,Aurora Cannabis Inc
4586,Daihatsu Motor Co Ltd
4587,PDS Biotechnology Corp
4588,Sembcorp Salalah Power and Water Company SAOG
4589,Intuitive Surgical Inc
4590,Trilogy International Partners Inc
4591,Devon Energy Corp
4592,Halliburton Co
4593,RPC Inc
4594,TCF Financial Corp
4595,Zynex Inc
4596,Fulcrum Utility Services Ltd
4597,Liechtensteinische Landesbank AG
4598,Chongqing Zhifei Biological Products Co Ltd
4599,Kvaerner ASA
4600,Wuliangye Yibin Co Ltd
4601,Cheng Shin Rubber Ind. Co Ltd
4602,Corporacion Financiera Alba SA
4603,Chesapeake Lodging Trust
4604,Genesee & Wyoming Inc
4605,MAG Silver Corp
4606,Global Telecom Holding SAE
4607,Sociedad de Inversiones Oro Blanco SA
4608,Netcompany Group A/S
4609,Genuine Parts Co
4610,Aquafil SpA
4611,Nampak Ltd
4612,Farglory Land Development Co Ltd
4613,Yaskawa Electric Corp
4614,Nymox Pharmaceutical Corp
4615,ChannelAdvisor Corp
4616,RTL Group SA
4617,Pool Corp
4618,Guidewire Software Inc
4619,Zuora Inc
4620,Fuelcell Energy Inc
4621,IRPC PCL
4622,Iridium Communications Inc
4623,Perfect Holding SA
4624,Bancolombia SA
4625,Prada SpA
4626,Workhorse Group Inc
4627,Agios Pharmaceuticals Inc
4628,Overseas Shipholding Group Inc
4629,Tsumura & Co
4630,Itau Corpbanca
4631,Staples Solutions Express BV
4632,Kumba Iron Ore Ltd
4633,Yuan Longping High-tech Agriculture Co Ltd
4634,HDFC Asset Management Company Ltd
4635,Facedrive Inc
4636,Skyworth Group Ltd
4637,TomTom NV
4638,Avenue Supermarts Ltd
4639,Knowles Corp
4640,INSYS Therapeutics Inc
4641,MLP SE
4642,Hopson Development Holdings Ltd
4643,Toyota Tsusho Corp
4644,Taiwan Fertilizer Co Ltd
4645,Macatawa Bank Corp
4646,Europris ASA
4647,Rocky Brands Inc
4648,TopBuild Corp
4649,IG Design Group PLC
4650,ServisFirst Bancshares Inc
4651,Mullen Group Ltd
4652,Kingsrose Mining Ltd
4653,StealthGas Inc
4654,Soda Sanayii AS
4655,China Oilfield Services Ltd
4656,Forrester Research Inc
4657,Equifax Inc
4658,Orell Fuessli Holding AG
4659,Assicurazioni Generali SpA
4660,Dah Sing Banking Group Ltd
4661,PhaseBio Pharmaceuticals Inc
4662,Paylocity Holding Corp
4663,Isra Vision AG
4664,Scripps Networks Interactive Inc
4665,Dubai Islamic Bank PJSC
4666,Lufax Holding Ltd
4667,Flsmidth & Co A/S
4668,Perusahaan Gas Negara Tbk PT
4669,Poly Property Group Co Ltd
4670,Bio-Techne Corp
4671,EnQuest PLC
4672,Cooper Tire & Rubber Co
4673,Ashland Global Holdings Inc.
4674,FMC Corp
4675,UGI Corp
4676,Sekisui House Ltd
4677,Tufin Software Technologies Ltd
4678,Lojas Renner SA
4679,Compass Group PLC
4680,Duzon Bizon Co Ltd
4681,Reply SpA
4682,ODP Corp
4683,Magseis Fairfield ASA
4684,Nitto Denko Corp
4685,Parkland Corp
4686,Hyundai Engineering & Construction Co Ltd
4687,Fiat Industrial SpA
4688,Draftkings Inc
4689,Australia and New Zealand Banking Group Ltd
4690,Urban Outfitters Inc
4691,Tata Motors Ltd
4692,CNPR Ltd
4693,Petroplus Holdings AG In Liquidation
4694,Ubisoft Entertainment SA
4695,Henkel AG & Co KgaA
4696,Palfinger AG
4697,Grupa Azoty SA
4698,Anadarko Petroleum Corp
4699,Austal Ltd
4700,Village Roadshow Ltd
4701,RigNet Inc
4702,Wajax Corp
4703,Mixi Inc
4704,Kghm International Ltd (Pre-Merger)
4705,YTO Express Group Co Ltd
4706,Grupo Comercial Chedraui SAB de CV
4707,Perrigo Company PLC
4708,Dynex Capital Inc
4709,Wagners Holding Company Ltd
4710,RCR Tomlinson Ltd
4711,Neoen SA
4712,Bharat Heavy Electricals Ltd
4713,Mitsubishi Electric Corp
4714,Meritz Fire & Marine Insurance Co Ltd
4715,Ausenco Pty Ltd
4716,Helixmith Co Ltd
4717,Zhongji Innolight Co Ltd
4718,Tele Norte Leste Participacoes SA
4719,Signature Aviation PLC
4720,NorthWestern Corp
4721,Next PLC
4722,Heineken NV
4723,Puma SE
4724,Astra International Tbk PT
4725,Rexel SA
4726,Griffin Industrial Realty Inc
4727,Booz Allen Hamilton Holding Corp
4728,Maple Leaf Foods Inc
4729,Beyond Air Inc
4730,Northfield Bancorp Inc
4731,Hangzhou Oxygen Plant Group Co Ltd
4732,Sonae SGPS SA
4733,LogicBio Therapeutics Inc
4734,Titan Cement Company SA
4735,World Acceptance Corp
4736,Ryanair Holdings PLC
4737,Coherent Inc
4738,Dundee Precious Metals Inc
4739,Gerdau Ameristeel Corp
4740,Brewin Dolphin Holdings PLC
4741,Legrand SA
4742,Daiwa Securities Group Inc
4743,Bangkok Bank PCL
4744,Delta Apparel Inc
4745,Smartgroup Corporation Ltd
4746,Sterlite Industries (India) Ltd
4747,National Bank of Kuwait SAKP
4748,TDC A/S
4749,RSA Insurance Group PLC
4750,Rubius Therapeutics Inc
4751,VinaCapital Vietnam Opportunity Fund Ltd
4752,NGK Spark Plug Co Ltd
4753,Yuhan Corp
4754,Safe Bulkers Inc
4755,Matthews International Corp
4756,Whirlpool Corp
4757,Neogenomics Inc
4758,Sansteel Minguang Co Ltd Fujian
4759,NSK Ltd
4760,Southwest Securities Co Ltd
4761,Shutterstock Inc
4762,NHK Spring Co Ltd
4763,Gol Linhas Aereas Inteligentes SA
4764,Bank of Ayudhya PCL
4765,Molinos Rio de la Plata SA
4766,Interpublic Group of Companies Inc
4767,ACNB Corp
4768,Indofood Sukses Makmur Tbk PT
4769,Doosan Infracore Co Ltd
4770,Sri Trang Gloves (Thailand) PCL
4771,Schroder Real Estate Investment Trust Ltd
4772,D'Ieteren NV
4773,Upstart Holdings Inc
4774,Green Landscaping Group AB
4775,Red Robin Gourmet Burgers Inc
4776,Iproperty Group Pty Ltd
4777,Seino Holdings Co Ltd
4778,CVS Health Corp
4779,Organizacion Terpel SA
4780,Hangzhou Silan Microelectronics Co Ltd
4781,Pro Medicus Ltd
4782,Stockland Corporation Ltd
4783,Altura Mining Ltd
4784,Procter & Gamble Co
4785,Compania Espanola de Petroleos SAU
4786,Deutsche Beteiligungs AG
4787,FTI Consulting Inc
4788,Golden Nugget Online Gaming Inc
4789,Amerigroup Corp
4790,Hudson City Bancorp Inc
4791,Cominar REIT
4792,Agnico Eagle Mines Ltd
4793,Jinyu Bio-Technology Co Ltd
4794,Terra Santa Agro SA
4795,Koito Manufacturing Co Ltd
